Nr,Tweets,bow
1,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
4,['trump'],"[(4, 1)]"
8,"['hollywood', 'china', 'congres']","[(5, 1), (6, 1), (7, 1)]"
10,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
11,"['contradictory', 'becom']","[(13, 1), (14, 1)]"
13,"['anti', 'pied', 'piper']","[(15, 1), (16, 1), (17, 1)]"
16,"['home', 'beloved']","[(18, 1), (19, 1)]"
17,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
19,"['jackfreeman', 'roast', 'session']","[(20, 1), (21, 1), (22, 1)]"
20,"['charley', 'horse']","[(23, 1), (24, 1)]"
21,"['doesn', 'care']","[(25, 1), (26, 1)]"
23,['twitter'],"[(27, 1)]"
24,"['girls', 'story']","[(28, 1), (29, 1)]"
25,"['firmly', 'believe', 'asshole', 'trained', 'licensed', 'psychbingeathon', 'allin', 'psychrewatch']","[(30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1)]"
27,['scor'],"[(38, 1)]"
31,"['nasa', 'black', 'blob', 'twitter']","[(27, 1), (39, 1), (40, 1), (41, 1)]"
34,"['fall', 'inlove']","[(42, 1), (43, 1)]"
35,"['theshaaymariie', 'happy', 'birthday']","[(44, 1), (45, 1), (46, 1)]"
41,['woosie'],"[(47, 1)]"
42,['business'],"[(48, 1)]"
43,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
45,['nirenberg'],"[(52, 1)]"
46,['trial'],"[(53, 1)]"
47,"['latrice', 'nixter', 'texasrapists', 'dawg', 'empathy']","[(54, 1), (55, 1), (56, 1), (57, 1), (58, 1)]"
48,"['sydneylbell', 'beauty', 'brains']","[(59, 1), (60, 1), (61, 1)]"
49,"['londona', 'lowkey', 'bias', 'information']","[(62, 1), (63, 1), (64, 1), (65, 1)]"
50,['guess'],"[(66, 1)]"
52,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
53,"['chess', 'player', 'chess', 'piece']","[(71, 2), (72, 1), (73, 1)]"
56,"['chopped', 'liver', 'chopped', 'liver']","[(74, 2), (75, 2)]"
59,"['wave', 'time']","[(76, 1), (77, 1)]"
60,['lmfaooooooo'],"[(78, 1)]"
61,"['music', 'tomorrow']","[(79, 1), (80, 1)]"
62,"['mother', 'fucker']","[(81, 1), (82, 1)]"
63,['hard'],"[(83, 1)]"
65,['neowww'],"[(84, 1)]"
66,['salad'],"[(85, 1)]"
67,['true'],"[(86, 1)]"
68,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
69,"['human', 'landing', 'system', 'contracts', 'nasa', 'awarded']","[(41, 1), (87, 1), (88, 1), (89, 1), (90, 1), (91, 1)]"
71,"['walkaway', 'maga']","[(92, 1), (93, 1)]"
72,"['family', 'level']","[(94, 1), (95, 1)]"
75,['welch'],"[(96, 1)]"
77,"['favorite', 'media', 'moment']","[(97, 1), (98, 1), (99, 1)]"
79,['review'],"[(100, 1)]"
80,"['jimmy', 'jail', 'time', 'drainthedeepstateswamp', 'istandwithflynn']","[(76, 1), (101, 1), (102, 1), (103, 1), (104, 1)]"
86,['quran'],"[(105, 1)]"
87,"['lindo', 'cafe']","[(106, 1), (107, 1)]"
88,"['etsy', 'shop', 'flower', 'nacre', 'pendant', 'necklace', 'gold', 'cable', 'pink']","[(108, 1), (109, 1), (110, 1), (111, 1), (112, 1), (113, 1), (114, 1), (115, 1), (116, 1)]"
89,"['nancy', 'pelosi']","[(117, 1), (118, 1)]"
90,['excuse'],"[(119, 1)]"
92,"['texas', 'single']","[(120, 1), (121, 1)]"
94,['caller'],"[(122, 1)]"
95,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
97,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
98,"['deep', 'breath']","[(123, 1), (124, 1)]"
99,['type'],"[(125, 1)]"
100,"['jhene', 'concert', 'month']","[(126, 1), (127, 1), (128, 1)]"
102,"['wind', 'doodle']","[(129, 1), (130, 1)]"
104,['houston'],"[(131, 1)]"
106,"['chance', 'east', 'nasa', 'fastlane']","[(41, 1), (132, 1), (133, 1), (134, 1)]"
107,['texas'],"[(121, 1)]"
109,"['tombaan', 'jared', 'kushner', 'entire', 'life', 'viral', 'pandemic']","[(69, 1), (135, 1), (136, 1), (137, 1), (138, 1), (139, 1), (140, 1)]"
111,"['mike', 'incredible', 'human']","[(89, 1), (141, 1), (142, 1)]"
116,['nique'],"[(143, 1)]"
117,"['thebabylonbee', 'freedom', 'micro', 'managing', 'liberal', 'social', 'justice', 'warrior', 'control', 'freaks']","[(144, 1), (145, 1), (146, 1), (147, 1), (148, 1), (149, 1), (150, 1), (151, 1), (152, 1), (153, 1)]"
118,"['fantastic', 'dayall', 'peace']","[(154, 1), (155, 1), (156, 1)]"
122,['twitter'],"[(27, 1)]"
123,"['cardiac', 'sarcoma', 'pulmonic', 'valve']","[(157, 1), (158, 1), (159, 1), (160, 1)]"
124,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
126,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
129,['trump'],"[(4, 1)]"
133,"['hollywood', 'china', 'congres']","[(5, 1), (6, 1), (7, 1)]"
135,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
136,"['contradictory', 'becom']","[(13, 1), (14, 1)]"
138,"['anti', 'pied', 'piper']","[(15, 1), (16, 1), (17, 1)]"
141,"['home', 'beloved']","[(18, 1), (19, 1)]"
142,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
144,"['jackfreeman', 'roast', 'session']","[(20, 1), (21, 1), (22, 1)]"
145,"['charley', 'horse']","[(23, 1), (24, 1)]"
146,"['doesn', 'care']","[(25, 1), (26, 1)]"
148,['twitter'],"[(27, 1)]"
149,"['girls', 'story']","[(28, 1), (29, 1)]"
150,"['firmly', 'believe', 'asshole', 'trained', 'licensed', 'psychbingeathon', 'allin', 'psychrewatch']","[(30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1), (37, 1)]"
152,['scor'],"[(38, 1)]"
156,"['nasa', 'black', 'blob', 'twitter']","[(27, 1), (39, 1), (40, 1), (41, 1)]"
159,"['fall', 'inlove']","[(42, 1), (43, 1)]"
161,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
163,"['birthday', 'month', 'babies']","[(44, 1), (128, 1), (166, 1)]"
164,"['scott', 'kaiya']","[(167, 1), (168, 1)]"
165,['flame'],"[(169, 1)]"
167,"['justbo', 'smoke', 'solved']","[(170, 1), (171, 1), (172, 1)]"
169,"['page', 'paper']","[(173, 1), (174, 1)]"
170,['caineee'],"[(175, 1)]"
173,"['retweet', 'explosive', 'interview', 'french', 'microbiologist', 'monta']","[(176, 1), (177, 1), (178, 1), (179, 1), (180, 1), (181, 1)]"
175,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
179,"['antonio', 'armed', 'protesters', 'storm', 'michigan', 'capital', 'bullet', 'proof', 'vests', 'vote', 'lockdown']","[(182, 1), (183, 1), (184, 1), (185, 1), (186, 1), (187, 1), (188, 1), (189, 1), (190, 1), (191, 1), (192, 1)]"
180,"['moonchild', 'mikrokosmos']","[(193, 1), (194, 1)]"
181,['straight'],"[(195, 1)]"
182,"['hamz', 'baby']","[(196, 1), (197, 1)]"
183,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
185,['excuse'],"[(119, 1)]"
188,['quran'],"[(105, 1)]"
189,"['lindo', 'cafe']","[(106, 1), (107, 1)]"
190,"['etsy', 'shop', 'flower', 'nacre', 'pendant', 'necklace', 'gold', 'cable', 'pink']","[(108, 1), (109, 1), (110, 1), (111, 1), (112, 1), (113, 1), (114, 1), (115, 1), (116, 1)]"
191,"['nancy', 'pelosi']","[(117, 1), (118, 1)]"
192,['excuse'],"[(119, 1)]"
194,"['texas', 'single']","[(120, 1), (121, 1)]"
196,['caller'],"[(122, 1)]"
197,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
199,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
200,"['deep', 'breath']","[(123, 1), (124, 1)]"
201,['type'],"[(125, 1)]"
202,"['jhene', 'concert', 'month']","[(126, 1), (127, 1), (128, 1)]"
204,"['wind', 'doodle']","[(129, 1), (130, 1)]"
206,['houston'],"[(131, 1)]"
208,"['chance', 'east', 'nasa', 'fastlane']","[(41, 1), (132, 1), (133, 1), (134, 1)]"
209,['texas'],"[(121, 1)]"
211,"['tombaan', 'jared', 'kushner', 'entire', 'life', 'viral', 'pandemic']","[(69, 1), (135, 1), (136, 1), (137, 1), (138, 1), (139, 1), (140, 1)]"
213,"['mike', 'incredible', 'human']","[(89, 1), (141, 1), (142, 1)]"
218,['nique'],"[(143, 1)]"
219,"['thebabylonbee', 'freedom', 'micro', 'managing', 'liberal', 'social', 'justice', 'warrior', 'control', 'freaks']","[(144, 1), (145, 1), (146, 1), (147, 1), (148, 1), (149, 1), (150, 1), (151, 1), (152, 1), (153, 1)]"
220,"['fantastic', 'dayall', 'peace']","[(154, 1), (155, 1), (156, 1)]"
224,['twitter'],"[(27, 1)]"
225,"['cardiac', 'sarcoma', 'pulmonic', 'valve']","[(157, 1), (158, 1), (159, 1), (160, 1)]"
226,"['disturbing', 'trend', 'pandemic', 'authoritarianism']","[(67, 1), (68, 1), (69, 1), (70, 1)]"
229,"['james', 'harden', 'lebron', 'shook']","[(198, 1), (199, 1), (200, 1), (201, 1)]"
232,['asia'],"[(202, 1)]"
234,"['stendo', 'playboi', 'carti']","[(203, 1), (204, 1), (205, 1)]"
235,"['adhd', 'awareness', 'health', 'nutrition']","[(206, 1), (207, 1), (208, 1), (209, 1)]"
236,"['luis', 'welcome']","[(210, 1), (211, 1)]"
237,"['rough', 'time']","[(76, 1), (212, 1)]"
238,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
240,"['drake', 'album']","[(213, 1), (214, 1)]"
241,"['boys', 'remix']","[(215, 1), (216, 1)]"
246,['couldn'],"[(217, 1)]"
247,"['lindsayjuff', 'cold', 'deep', 'dark', 'dangerous', 'truth']","[(124, 1), (218, 1), (219, 1), (220, 1), (221, 1), (222, 1)]"
250,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
253,['houston'],"[(131, 1)]"
255,"['morning', 'hope']","[(223, 1), (224, 1)]"
256,"['girls', 'story']","[(28, 1), (29, 1)]"
257,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
258,"['killswitchkatie', 'reverb', 'iron']","[(225, 1), (226, 1), (227, 1)]"
261,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
263,"['birthday', 'month', 'babies']","[(44, 1), (128, 1), (166, 1)]"
264,"['scott', 'kaiya']","[(167, 1), (168, 1)]"
265,['flame'],"[(169, 1)]"
267,"['justbo', 'smoke', 'solved']","[(170, 1), (171, 1), (172, 1)]"
269,"['page', 'paper']","[(173, 1), (174, 1)]"
270,['caineee'],"[(175, 1)]"
