Cities,Tweets,bow
0,"['dilemma', 'dunst', 'plan']","[(0, 1), (1, 1), (2, 1)]"
1,[''],"[(3, 1)]"
2,['residence'],"[(4, 1)]"
3,[''],"[(3, 1)]"
4,[''],"[(3, 1)]"
5,['paper'],"[(5, 1)]"
6,[''],"[(3, 1)]"
7,[''],"[(3, 1)]"
8,['holden'],"[(6, 1)]"
9,"['solution', 'consultant']","[(7, 1), (8, 1)]"
10,[''],"[(3, 1)]"
11,[''],"[(3, 1)]"
12,[''],"[(3, 1)]"
13,['bange'],"[(9, 1)]"
14,[''],"[(3, 1)]"
15,"['twitter', 'heller', 'gode']","[(10, 1), (11, 1), (12, 1)]"
16,['sure'],"[(13, 1)]"
17,[''],"[(3, 1)]"
18,"['sider', 'skal']","[(14, 1), (15, 1)]"
19,[''],"[(3, 1)]"
20,[''],"[(3, 1)]"
21,[''],"[(3, 1)]"
22,[''],"[(3, 1)]"
23,[''],"[(3, 1)]"
24,['miller'],"[(16, 1)]"
25,[''],"[(3, 1)]"
26,['bond'],"[(17, 1)]"
27,"['pharmaceutical', 'alert', 'process', 'engineer']","[(18, 1), (19, 1), (20, 1), (21, 1)]"
28,"['senior', 'engineer']","[(19, 1), (22, 1)]"
29,[''],"[(3, 1)]"
30,"['trading', 'specialist']","[(23, 1), (24, 1)]"
31,[''],"[(3, 1)]"
32,['noma'],"[(25, 1)]"
33,[''],"[(3, 1)]"
34,[''],"[(3, 1)]"
35,['campus'],"[(26, 1)]"
36,"['analyst', 'spring', 'health']","[(27, 1), (28, 1), (29, 1)]"
37,[''],"[(3, 1)]"
38,['martial'],"[(30, 1)]"
39,[''],"[(3, 1)]"
40,[''],"[(3, 1)]"
41,[''],"[(3, 1)]"
42,[''],"[(3, 1)]"
43,[''],"[(3, 1)]"
44,['park'],"[(31, 1)]"
45,[''],"[(3, 1)]"
46,[''],"[(3, 1)]"
47,[''],"[(3, 1)]"
48,['cute'],"[(32, 1)]"
49,[''],"[(3, 1)]"
50,[''],"[(3, 1)]"
51,[''],"[(3, 1)]"
52,"['twitter', 'chang', 'star']","[(12, 1), (33, 1), (34, 1)]"
53,['pong'],"[(35, 1)]"
54,[''],"[(3, 1)]"
55,"['frederik', 'heller', 'ligger', 'bare']","[(11, 1), (36, 1), (37, 1), (38, 1)]"
56,[''],"[(3, 1)]"
57,"['folk', 'liker', 'dere']","[(39, 1), (40, 1), (41, 1)]"
58,['innovation'],"[(42, 1)]"
59,['united'],"[(43, 1)]"
60,[''],"[(3, 1)]"
61,['skeleton'],"[(44, 1)]"
62,[''],"[(3, 1)]"
63,[''],"[(3, 1)]"
64,[''],"[(3, 1)]"
65,[''],"[(3, 1)]"
